path,type,size,mode,uid,gid,mtime,scope,install_class,source,source_reference,sha256,notes
/etc/rc_csho,file,1247,0700,508,20,661822632,common-installed-snapshot,unclassified-installed-snapshot,S8000-2.tar,etc/rc_csho,a148f4640874d81ec38abbeedd6732571540bb349986621a584e809187169b4d,metadata from modern tar wrapper
/etc/rco,file,792,0700,508,20,560909495,common-installed-snapshot,unclassified-installed-snapshot,S8000-2.tar,etc/rco,763766e6725c96b302398a232a250a71c4b12327ce6aa21e18f7d3a2e8608aca,metadata from modern tar wrapper
/etc/reservrc,file,991,0700,3,0,541456265,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/reservrc,6a13025bfe95c7ee94f9f60028778029c9bc681f89790804d4bbb9a39221cf02,mode/uid/gid recovered from parent .contents
/etc/restor,file,20128,0750,3,0,469762979,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/restor,0f69cfa09568c5fe4dd5114272f671f4cd71ab711d8477d1b019cee7076ff6fc,mode/uid/gid recovered from parent .contents
/etc/rmuser,file,956,0700,0,0,469762974,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/rmuser,e972bdca6c8a52ccb523c2bcfbd348661c73dc1c3dd4604fcfd9ad3f1d7682e4,mode/uid/gid recovered from parent .contents
/etc/setlp,file,6936,0700,0,0,469762981,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/setlp,00640f41558ea30b8af28cd201d24e7765a3ab7d079f5875fc03e04315bea349,mode/uid/gid recovered from parent .contents
/etc/setmnt,file,5928,0700,0,0,469762964,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/setmnt,384433ce184a12fe67ab3d447084316fac3381226cd321a8738f6b5cb89e68b5,mode/uid/gid recovered from parent .contents
/etc/shut,file,9860,0700,0,0,469762974,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/shut,fa1d76fc8b5930f98f7bb0048cd29d2512f620989698e1067ab4d3bed4487e7d,mode/uid/gid recovered from parent .contents
/etc/sysgen,file,11970,0750,0,0,469762980,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/sysgen,0262f40f349424ec82026628cd45a0c32449f932d5c786355e888445338a15ac,mode/uid/gid recovered from parent .contents
/etc/taperrc,file,991,0700,3,0,541456265,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/taperrc,6a13025bfe95c7ee94f9f60028778029c9bc681f89790804d4bbb9a39221cf02,mode/uid/gid recovered from parent .contents
/etc/termcap,file,10221,0644,3,0,560212498,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/termcap,a88560f734c8f6b44f178fc8f7f62c9c978616dc509e1171eb612d4321d825f0,mode/uid/gid recovered from parent .contents
/etc/termcap.org,file,11202,0600,508,20,469762992,common-installed-snapshot,unclassified-installed-snapshot,S8000-2.tar,etc/termcap.org,92250d30edcd6999ff50c712fed0378de62fb71a279e0d120b2ab006ef5ab46f,metadata from modern tar wrapper
/etc/termcap.others,file,30714,0644,3,0,469762994,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/termcap.others,19b5ae8c53a977af886a7902855710621c4182084a73f2db864729a4b86d7da0,mode/uid/gid recovered from parent .contents
/etc/ttyconfig,file,8404,0700,0,0,469762986,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/ttyconfig,806adafe054248cb3dadc1b9a16c1621fb5e16315acf1b1e36a67d8815b9a5cd,mode/uid/gid recovered from parent .contents
/etc/ttytype,file,70,0644,3,0,663655324,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/ttytype,8404a2f88dbe3f5ec4304c89b0079e2970908785735942a49ed9da699238f7ed,mode/uid/gid recovered from parent .contents
/etc/umfs,file,411,0750,3,0,469762974,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/umfs,a860102e6c41a1bd0a61d92e1d430376c355fb40b71d92aadb40f2a85d7390be,mode/uid/gid recovered from parent .contents
/etc/umount,file,6146,4750,0,0,469762987,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/umount,69c3561ee65b9b7c8e9b75e08d9f2cbe946278c06f50a7216002cbe38598759b,mode/uid/gid recovered from parent .contents
/etc/unlink,file,304,0700,0,0,469762987,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/unlink,99b16efc681ec3d0b5d17c0e4cb69dc3ecff98cbeaefd5bf627d5b925f501a7e,mode/uid/gid recovered from parent .contents
/etc/update,file,588,0700,3,0,469762987,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/update,d2a12a697d5cdb75c8c4f7f91e1c31ad4530bfce292af7d5993d1d085a803f53,mode/uid/gid recovered from parent .contents
